judul_course,deskripsi,fakultas_dari_card,fakultas,program
Penyakit Vitreoretina,"Mata
kuliah/topik ini membekali mahasiswa pengetahuan dan keterampilan klinis dasar
untuk ...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Dasar Hematologi- Hematopoiesis dan komponen sel darah,"Mata kuliah ini mempelajari konsep dasar hematologi yang meliputi proses hematopoiesis, struktur ...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Gerak Bola Mata dan Dasar Strabismus,"Pembelajaran fisiologi, anatomi, inervasi gerak bola mata serta dasar strabismus","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
[Tugas Pekerti] Model Hewan Coba pada Penelitian Biomedis,,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
[PEKERTI] Comprehensive Assesment and Diagnostic Tool in Glaucoma,Kelas ini mengajarkan penggunaan beberapa modalitas untuk pemeriksaan glaukoma. Beberapa yang ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
[Pekerti 2026] Keratitis Infeksius: Panduan Triase Diagnostik,Selamat datang pada kuliah Penyakit Mata Luar (Infeksi dan Imunologi) . Mata kuliah ini diampu ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
ELIMINATION AND SKIN/TISSUE INTEGRITY 2026,"Blok mempunyai
beberapa topik utama yaitu tentang eliminasi baik fekal maupun urinari ...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Blok Mental Health TA 2025-2026,Blok mental health adalah blok pertama yang diberikan pada mahasiswa semester keempat (tahun ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
"BLOK  PRINSIP KEHIDUPAN, KOMUNIKASI DAN FUNGSI SOSIAL","DESKRIPSI
BLOK PRINSIP KEHIDUPAN, KOMUNIKASI, DAN FUNGSI SOSIAL Blok Prinsip
Kehidupan,...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
[GameHerbal] Training Bersertifikat via App - Official App.,Aplikasi Game Training BerSERTIFIKAT Latihan soal training bersertifikat yang dikemas menjadi ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Agama Islam 2-2021,Mata Kuliah Agama Islam   II  merupakan mata kuliah yang terkait dengan keyakinan yang melandasi ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Praktikum Mikrobiologi Tanah 2025,,Fakultas Kehutanan,Fakultas Kehutanan,
Praktikum Kesuburan Tanah 2025,,Fakultas Kehutanan,Fakultas Kehutanan,
Pengelolaan Jasa Lingkungan,,Fakultas Kehutanan,Fakultas Kehutanan,
Strategi Mitigasi dan Adaptasi Perubahan Iklim,"Modul
terbuka daring kredensial mikro “Strategi Mitigasi dan Adaptasi Perubahan
Iklim” adalah ...",Fakultas Kehutanan,Fakultas Kehutanan,
HAMA PENYAKIT HUTAN TROPIS,"Mata kuliah ""Hama dan Penyakit Hutan Tropis""  membahas konsep dasar tentang hama dan penyakit ...",Fakultas Kehutanan,Fakultas Kehutanan,
Praktik PIK & PWG 2025,Praktik Pengantar Ilmu Kehutanan dan Pembelajaran Wanagama Fakultas Kehutanan UGM 2025,Fakultas Kehutanan,Fakultas Kehutanan,
Ilmu Tanah Hutan 2024,,Fakultas Kehutanan,Fakultas Kehutanan,
Identifikasi dan Mikroteknik Kayu,,Fakultas Kehutanan,Fakultas Kehutanan,
STRATEGI INOVASI KREATIF,"Mata kuliah ini merupakan mata kuliah yang dikhususkan pada pengenalan, dan pendampingan ...",Fakultas Kehutanan,Fakultas Kehutanan,
Ekologi Perairan Gasal 2024/2025,Mata Kuliah Ekologi Perairan adalah mata kuliah pilihan untuk mahasiwa Fakultas Kehutanan UGM ...,Fakultas Kehutanan,Fakultas Kehutanan,
Biologi Hutan A Gasal 2024/2025,Mata Kuliah Biologi Hutan (KTU22102) merupakan mata kuliah wajib mahasiswa Fakultas Kehutanan. ...,Fakultas Kehutanan,Fakultas Kehutanan,
ENFORNATION UGM 2024,,Fakultas Kehutanan,Fakultas Kehutanan,
Analisis Data Geospasial Kehutanan dan Lingkungan,"Mata kuliah ini mempelajari
tentang konsep dan integrasi penggunaan data digital sistem ...",Fakultas Kehutanan,Fakultas Kehutanan,
Anatomi dan Identifikasi Kayu Kelas A,"Mata kuliah yang berisi tentang struktur kayu, anatomi dan penggunaannya untuk identifikasi kayu.",Fakultas Kehutanan,Fakultas Kehutanan,
Biometrika Sumberdaya Hutan,Kelas virtual mata kuliah Biometrika SDH - Kelas D ini dimaksudkan untuk memberikan peluang ...,Fakultas Kehutanan,Fakultas Kehutanan,
Bioteknologi Hasil Hutan,,Fakultas Kehutanan,Fakultas Kehutanan,
Dasar-Dasar Konservasi Sumber Daya Hutan Sem 1 2020 Kelas A,Matakuliah ini memberikan dasar pengetahuan tentang konservasi sumberdaya hutan yang mencakup ...,Fakultas Kehutanan,Fakultas Kehutanan,
Dasar-Dasar Konservasi Sumber Daya Hutan Sem 1 2020 Kelas B,,Fakultas Kehutanan,Fakultas Kehutanan,
Dasar-Dasar Konservasi Sumber Daya Hutan Sem 1 2020 Kelas C,,Fakultas Kehutanan,Fakultas Kehutanan,
Dasar-Dasar Konservasi Sumber Daya Hutan Sem 1 2020 Kelas D,,Fakultas Kehutanan,Fakultas Kehutanan,
Teori Bahasa dan Otomata,,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Kimia Minyak Atsiri,Mata kuliah Kimia Minyak Atsiri menjelaskan aspek-aspek minyak atsiri yang penting dan menarik ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Physics,,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Fisika Atom,,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
[PEKERTI] MMM1202 Aljabar Linear Elementer 2026,"Mata kuliah Aljabar Linear Elementer merupakan mata
kuliah wajib yang ditempuh oleh mahasiswa ...",Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Metodologi Penelitian - 2025-2 - YS,,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Kapita Selekta Sistem Komputer dan Jaringan,,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Architecture and Technology Big Data - ILKOM,This course introduces the technologies and algorithms used to process and analyze large-scale ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Analsis Elektronika 2025-2,,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Jaringan Komputer Lanjut - YS 2025-2,,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Blockchain,"Matakuliah ini memberikan pengetahuan, pemahaman terkait konsep Bloakchain, Materi juga membahas ...",Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
DCSE Summer Course 2026 - Empowering Society through AI & Robotics,,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Pengelolaan Limbah B3 2026,Pengelolaan limbah B3 adalah salah satu mata kuliah minat kimia lingkungan. Mahasiswa akan ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Pengelolaan Limbah B3 2025 copy 1,Pengelolaan limbah B3 adalah salah satu mata kuliah minat kimia lingkungan. Mahasiswa akan ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Praktikum Algoritma dan Struktur Data CSB,"●This course serves as a complement to the Algorithm and Data Structures course, with a primary ...",Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Praktikum Algoritma dan Struktur Data KOM C,"●This course serves as a complement to the Algorithm and Data Structures course, with a primary ...",Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Architecture and Technology Big Data,This course introduces the technologies and algorithms used to process and analyze large-scale ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Pengembangan Pusat Data (Data Center Developmet),Mata kuliah ini memberikan pengetahuan landscape Data Center pada infrastruktur menjadi fokus ...,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Workshop Elins ELC - TWS,Workshop Elins adalah kuliah dan praktek mengenai tata cara pembuatan PCB (printed Circuit Board)...,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Workshop Elins ELD - TWS,Workshop Elins adalah kuliah dan praktek mengenai tata cara pembuatan PCB (printed Circuit Board)...,Fakultas Matematika dan Ilmu Pengetahuan Alam,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Bioteknologi Pertanian 2025/2026,,Fakultas Pertanian,Fakultas Pertanian,
UAS Biokimia 2026,,Fakultas Pertanian,Fakultas Pertanian,
Penulisan Ilmiah Genap 2026,Mata kuliah mempelajari arti penting melakukan publikasi ilmiah di jurnal bereputasi baik ...,Fakultas Pertanian,Fakultas Pertanian,
UAS Fisiologi Lingkungan Ani 2025,Selamat datang di UAS MK Fisiologi Lingkungan Bagian Ani Widiastuti Tahun 2025. Terima kasih.,Fakultas Pertanian,Fakultas Pertanian,
Summer Course on Sustainable Tropical Agriculture 2025,Join Summer Course on Sustainable Tropical Agriculture 2025 : The Journey of Coffee from Seed to ...,Fakultas Pertanian,Fakultas Pertanian,
(S2) Genetika Populasi dan Kuantitatif Tanaman,,Fakultas Pertanian,Fakultas Pertanian,
"(S3) Metode Laboratorium, Lapangan, dan Analisis Data",,Fakultas Pertanian,Fakultas Pertanian,
(S3) Perspektif dan Etika dalam Pemuliaan Tanaman,,Fakultas Pertanian,Fakultas Pertanian,
2023-2024 Genap Ekosistem Pertanian Kelas D,Mata kuliah Ekosistem Pertanian merupakan mata kuliah wajib bagi mahasiswa Pertanian tahun ...,Fakultas Pertanian,Fakultas Pertanian,
Agrostatistika - S1 Fakultas Pertanian UGM,"Mata
kuliah ini membahas mengenai konsep tentang bagaimana merancang suatu
eksperimen, ...",Fakultas Pertanian,Fakultas Pertanian,
Biotek Fitoaleksin dan Resistensi,Selamat Datang di MK S2 Fitoaleksin dan Resistensi Prodi Bioteknologi UGM,Fakultas Pertanian,Fakultas Pertanian,
Bioteknologi Pertanian (Agricultural Biotechnology),Mata kuliah Bioteknologi Pertanian,Fakultas Pertanian,Fakultas Pertanian,
Botani (PNU20191102),,Fakultas Pertanian,Fakultas Pertanian,
English for Academic Purposes (Agriculture),English for Academic Purposes (EAP) course provides language instruction for academic study in ...,Fakultas Pertanian,Fakultas Pertanian,
English For Academic Purposes 2022 Class B,,Fakultas Pertanian,Fakultas Pertanian,
FISIOLOGI TUMBUHAN,"Fisiologi Tumbuhan merupakan mata kuliah yang
diwajibkan bagi mahasiswa Fakultas Pertanian ...",Fakultas Pertanian,Fakultas Pertanian,
Fitopatologi Kelas A 2020,"This course discusses the history and importance of plant diseases, the concept of plant diseases...",Fakultas Pertanian,Fakultas Pertanian,
Hubungan Masyarakat MBKM,,Fakultas Pertanian,Fakultas Pertanian,
ILMU USAHA TANI,,Fakultas Pertanian,Fakultas Pertanian,
Immunolog Ikan,,Fakultas Pertanian,Fakultas Pertanian,
Ujian online UTS Genetika Dasar kelas D - 2026,Matakuliah Genetika Dasar merupakan matakuliah dasar dan wajib ditempuh oleh semua ...,Fakultas Peternakan,Fakultas Peternakan,
Ujian online UTS Genetika Dasar kelas A - 2026,Matakuliah Genetika Dasar merupakan matakuliah dasar dan wajib ditempuh oleh semua ...,Fakultas Peternakan,Fakultas Peternakan,
MANAJEMEN INDUSTRI PETERNAKAN,,Fakultas Peternakan,Fakultas Peternakan,
Praktikum Dasar Komunikasi Bisnis dan Inovasi 2026,Tujuan dilakukannya praktikum Dasar Komunikasi Bisnis dan Inovasi adalah untuk : Mahasiswa ...,Fakultas Peternakan,Fakultas Peternakan,
Processing Daging Unggas,"Video Pembelajaran-Nutrisi Daging Unggas Mata kuliah ""Processing Daging Unggas"" membahas berbagai ...",Fakultas Peternakan,Fakultas Peternakan,
Pakan Fungsional,Mata kuliah ini membahas peran dan aplikasi pakan fungsional dalam meningkatkan kesehatan dan ...,Fakultas Peternakan,Fakultas Peternakan,
Pemilihan Mahasiswa Fakultas Peternakan,,Fakultas Peternakan,Fakultas Peternakan,
Matematika Kelas D,,Fakultas Peternakan,Fakultas Peternakan,
Matematika Dasar (NYM-MMN),,Fakultas Peternakan,Fakultas Peternakan,
Ekonomi Pembangunan Pedesaan (PTE 6310),"Deskripsi Mata Kuliah : Tujuan dari mata kuliah ini adalah untuk mendiskusikan
teori-teori ...",Fakultas Peternakan,Fakultas Peternakan,
Statistika (Kurikulum 2016),Statistika merupakan mata kuliah wajib fakultas dan sangat menunjang untuk pengembangan ...,Fakultas Peternakan,Fakultas Peternakan,
Anatomi dan Fisiologi kelas B,Mata kuliah ini membahas tentang anatomi dan filiologi ternak.,Fakultas Peternakan,Fakultas Peternakan,
Anatomi dan Fisiologi kelas D,,Fakultas Peternakan,Fakultas Peternakan,
Anatomi dan Histologi - B,Mata kuliah ini mempelajari tentang Anatomi dan Histologi pada ternak.,Fakultas Peternakan,Fakultas Peternakan,
PIE,"Introduction
 to Livestock Economics course counts as part of the academic requirements of
 the...",Fakultas Peternakan,Fakultas Peternakan,
Anatomi dan Histologi-kelas ABC,,Fakultas Peternakan,Fakultas Peternakan,
Aneka Ternak Perah PTD 3304,,Fakultas Peternakan,Fakultas Peternakan,
Animal Behaviour and Welfare,,Fakultas Peternakan,Fakultas Peternakan,
Animal Production Systems (S2),Animal Production Systems course focuses on the understanding of the complexity of the systems in...,Fakultas Peternakan,Fakultas Peternakan,
Bahan Pakan & Formulasi Ransum (PTN 2401),Mata kuliah Bahan Pakan dan Formulasi Ransum (BPFR) merupakan mata kuliah wajib yang mendasari ...,Fakultas Peternakan,Fakultas Peternakan,
Bridging Course,Bridging Course ini bertujuan untuk menyiapkan peserta agar siap belajar sebagai mahasiswa ...,Continuing Education Program (CEP),Fakultas Psikologi,Continuing Education Program (CEP)
User Interfaces and User eXperience Design_2627,,Fakultas Teknik,Fakultas Teknik,
Course copying in progress copy 6,,Fakultas Teknik,Fakultas Teknik,
Course copying in progress copy 5,,Fakultas Teknik,Fakultas Teknik,
Introduction to Industrial Engineering Ganjil 26/27,,Fakultas Teknik,Fakultas Teknik,
Engineering Management IUP Ganjil 26/27,,Fakultas Teknik,Fakultas Teknik,
Ergonomika Kelas Reguler Ganjil 26/27,,Fakultas Teknik,Fakultas Teknik,
Ergonomics IUP Ganjil 26/27,,Fakultas Teknik,Fakultas Teknik,
Cognitive Engineering and Neuroscience Ganjil 26/27,,Fakultas Teknik,Fakultas Teknik,
PIONIR KESATRIA 2026,Selamat datang Para Kesatria Muda ! Kami sangat senang menyambut kalian sebagai bagian dari ...,Fakultas Teknik,Fakultas Teknik,
Analisis masalah,"Modul ini membahas konsep, metode, dan teknik dalam mengidentifikasi potensi permasalahan pada ...",Fakultas Teknik,Fakultas Teknik,
Problem Analysis,,Fakultas Teknik,Fakultas Teknik,
Perencanaan dan Pemodelan Transportasi,,Fakultas Teknik,Fakultas Teknik,
Metode Penelitian (MTK dan MTPPI),"This course equips students with the ability to design and develop a rigorous research proposal, ...",Fakultas Teknik,Fakultas Teknik,
Keselamatan dan Kesehatan Kerja (K3),,Fakultas Teknik,Fakultas Teknik,
Engineering for Civilization (KKUP - IUP B),,Fakultas Teknik,Fakultas Teknik,
2026 STPAM,,Fakultas Teknik,Fakultas Teknik,
Perencanaan Pembangunan Permukiman (Elective),Mata kuliah pilihan Perencanaan Pembangunan Permukiman (2 sks) adalah mata kuliah yang ditawarkan...,Fakultas Teknik,Fakultas Teknik,
Metodologi Penelitian dan Penulisan Ilmiah Genap 25/26,,Fakultas Teknik,Fakultas Teknik,
Pengalaman Pengguna & Usabilitas_2526,,Fakultas Teknik,Fakultas Teknik,
Biomekanika dan Fisiologi Terapan 2526,,Fakultas Teknik,Fakultas Teknik,
[PEKERTI] Teknik Budidaya Massa Hayati Terintegrasi,Modul ini merupakan penutup dari rangkaian mata kuliah Teknik Budidaya Massa Hayati yang ...,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Short Course in Agri-Food Sector: Nature X ScienceTech Innovation: Co-Creating Sustainable Agro-Food Industry and Climate Solutions for Resilient Planet,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
PEKERTI-Biokimia,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
7 th Summer Course in Agri-food Sector: Artificial Intelligence Applications for Advancing the Agri-food Industry,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Praktikum TTCK Genap 2024/2025 TPIP211204,Praktikum Teknik Tata Cara Kerja merupakan praktikum wajib dimana praktikan dapat melakukan ...,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Profil Sensoris - PEKERTI 2024,Mata kuliah Profil Sensoris memberikan pemahaman menyeluruh tentang karakteristik sensorik dan ...,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
6th Summer Course FTP UGM 2024,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
4th Summer Course FTP 2022,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Agroklimatologi DTPB FTP UGM,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Agronomi,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Alat dan Mesin Pengolahan,"Membahas tentang spesifikasi dan prinsip
kerja peralatan dan mesin pengolahan untuk pangan dan ...",Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Analisis Pengambilan Keputusan - TIP (2021),,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Analisis Sistem dan Model,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
AU-Satuan operasi 1,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Coba coba tidak meledak,Coba-coba tidak meledak,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Ekonomi Teknik,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
EGPP _ TPHP 212107__PRIWIT,"Mata kuliah ini mempelajari tentang perubahan zat gizi (karbohidrat, lemak, protein, vitamin, ...",Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Formulasi dan Fortifikasi Gizi - TPP-3137,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Gastronomi Indonesia,Gastronomi Indonesia,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
Gizi Mikro,,Fakultas Teknologi Pertanian,Fakultas Teknologi Pertanian,
"Biosphere Reserve of Komodo and Orangutan: Komodo, Bats, Macaque, and Orangutan",Summer Course by the Graduate School of Universitas Gadjah Mada in collaboration with One Health ...,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Analisis Isyarat Biomedis 2023-2 MTB SPs,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Artificial Intelligence dalam Teknik Biomedis,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Bahasa Biokomputasi,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Big Data Analytics - Pascasarjana,"Mata kuliah Big Data Analytic membahas
definisi, karakteristik, dan pemanfaatan big data dalam ...",Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Biologi Sistem dan Komputasi,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
BIOMEDICAL IMAGING,BIOMEDICAL IMAGING,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Dasar-dasar Analisis Risiko Multi Bencana,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Ekonomi Politik Digital dan Inovasi Disruptif 2025,"Mata kuliah ini merupakan mata kuliah wajib bagi mahasiswa Program Studi S2 Ketahanan Nasional, ...",Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Sejarah Pemikiran,Deskripsi Matakuliah Mata kuliah Sejarah Pemikiran Tujuan Pembelajaran 1. Mengetahui 2. Mampu,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
ENZIMOLOGI,"Matakuliah ini berisikan tentang
fungsi enzim di dalam maupun di luar sel, bahan penyusun enzim,...",Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Enzimologi S2 Bioteknologi 2021,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
"Inovasi, Kepemimpinan dan Literasi Digital Sektor Publik","Inovasi, Kepemimpinan dan Literasi Digital Sektor Publik",Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Keamanan Informasi Digital,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Kepemimpinan Strategik,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Keuangan Syariah,"Mata kuliah Keuangan Syariah merupakan mata kuliah
pilihan konsentrasi bagi mahasiswa yang ...",Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Komunikasi Massa dalam Pembangunan,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Magister Bioteknologi - NANOBIOTEKNOLOGI 2022/2023,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Manajemen Hubungan Masyarakat,,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
Manajemen Komunikasi dan Informasi Tanggap Darurat,Kuliah Manajemen Komunikasi dan Informasi Tanggap Darurat.,Sekolah Pascasarjana,Sekolah Pascasarjana,Sekolah Pascasarjana
PIONIR PERMADANI 2026,,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Ushul Fiqh,"Curious how Islamic law is understood, explained, and applied? Join Usul Fiqh to explore the ...",Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Penilaian Properti Pengantar,Selamat datang di mata kuliah Penilaian Properti Pengantar! Penilaian Properti adalah salah satu m...,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Keterampilan Berbahasa Jepang,Mata kuliah ini merupakan mata kuliah wajib bagi siswa semester III yang telah mendapatkan materi...,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Bahasa Arab Amiyyah اللهجة العامية,هل ترغب في اكتشاف أسرار اللغة العربية واللهجات السعودية؟ تقدم لك هذه المادة فرصة فريدة لتعلم ...,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Financial Management Practicum,"Welcome to the engine
room of the financial world. In this practicum, we move beyond ...",Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Banking Technology and Financial Services,"Welcome to the exciting
world of Fintech! In this course, we’ll explore how technology is ...",Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Praktik IoT_Alat Berat Irfan,"Praktik pembuatan IoT mempelajari
tentang ketrampilan untuk memahami konsep kesisteman IoT, ...",Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Arsitektur Perangkat Lunak AA 2526,,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Praktikum Pemrograman Komputer A1 & A2 2025,,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Jaringan Komputer 1 - TRI BB - 2025,"Kuliah Jaringan Komputer 1 - Angkatan 2025 kelas BB Program Studi Teknologi Rekayasa Internet, ...",Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Praktikum Desain PL 2526,,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Rangkaian Listrik (IK1BB),,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
PIONIR PERMADANI 2025,,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
LSP UGM,,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Praktikum Statistika MPP42 2024/2025 Gasal,Mata kuliah ini merupakan aplikasi lanjut dari teori yang telah didapatkan pada mata ...,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Teknik Penggudangan 2026,Are you ready to dive into the world of warehouse management and take control of logistics like a...,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Praktikum Statistika MPP41 2024/2025 Gasal,"Mata
kuliah ini merupakan aplikasi lanjut dari teori yang telah didapatkan pada mata
kuliah ...",Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Financial statement analysis,"Dive
into the world of Financial Statement Analysis with this comprehensive
course designed to ...",Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
Basis Data - Manajemen Informasi Kesehatan,Learning Management System untuk mendukung Mata Kuliah Basis Data di Program Studi Manajemen ...,Sekolah Vokasi,Sekolah Vokasi,Sekolah Vokasi
